unit_id	input_label	path	sha256	size_bytes
eas_neutral_exact_population_af_reverse_bridge_r000	conversion_completion	focused_selection_EAS_sim/cosi2_conditioned_gamma_study_work/decode_units/eas_neutral_exact_population_af_reverse_bridge_r000/converted/conversion_complete.json	e2b40bcb88f4b4c644bb37403d66c69224fab76a4298ea12e492f52345c8b5c1	3281
eas_neutral_exact_population_af_reverse_bridge_r000	conversion_metadata	focused_selection_EAS_sim/cosi2_conditioned_gamma_study_work/decode_units/eas_neutral_exact_population_af_reverse_bridge_r000/converted/conversion_metadata.json	6efde6dde35d0ebf418ee1b2602f823f2cc19fd1cf9c499b21ec920ff8eed8ab	1711
eas_neutral_exact_population_af_reverse_bridge_r000	decode_completion	focused_selection_EAS_sim/cosi2_conditioned_gamma_study_work/decode_units/eas_neutral_exact_population_af_reverse_bridge_r000/decoded/decode_complete.json	a99768eaeedf34e1023c7035a138da3a72b1fcb953cb75213a22058ce4a80a71	3477
eas_neutral_exact_population_af_reverse_bridge_r000	pair_manifest	focused_selection_EAS_sim/cosi2_conditioned_gamma_study_work/decode_units/eas_neutral_exact_population_af_reverse_bridge_r000/decoded/decoded_pairs.tsv	ac16c52e20bc42b842b55e642ccfc7140d3493402858ce7d49b14d37c71fc5d4	103547
eas_neutral_exact_population_af_reverse_bridge_r000	posterior	focused_selection_EAS_sim/cosi2_conditioned_gamma_study_work/decode_units/eas_neutral_exact_population_af_reverse_bridge_r000/decoded/posterior.zst	96e2cb3008035d1cf6d281337f959955c3325e9f657444885980b2559105af5a	35988491
eas_neutral_exact_population_af_reverse_bridge_r000	posterior_metadata	focused_selection_EAS_sim/cosi2_conditioned_gamma_study_work/decode_units/eas_neutral_exact_population_af_reverse_bridge_r000/decoded/posterior.zst.meta	295befa57207ff766db83e2cf798e909039fce2ceb9d6c576c0c190f3e0b1521	65949
eas_neutral_exact_population_af_reverse_bridge_r000	requested_pairs	focused_selection_EAS_sim/cosi2_conditioned_gamma_study_work/decode_units/eas_neutral_exact_population_af_reverse_bridge_r000/converted/overall.pairs.tsv	59119c5f8bb957292b18a3c5ecff7a973e2ecb5ca403c106db68161cecab63da	34014
eas_neutral_exact_population_af_reverse_bridge_r000	vcf	focused_selection_EAS_sim/cosi2_conditioned_gamma_study_work/decode_units/eas_neutral_exact_population_af_reverse_bridge_r000/converted/input.vcf	c5eab8ded896cab84318bc7e10a4190bd4fa9d9c4db699d794e16aece9492729	12258848
eas_neutral_exact_population_af_reverse_bridge_r001	conversion_completion	focused_selection_EAS_sim/cosi2_conditioned_gamma_study_work/decode_units/eas_neutral_exact_population_af_reverse_bridge_r001/converted/conversion_complete.json	e92cba770be71437136cbf1f5a7c592420054890a9a6fac7bbf5f6bae3fcadd9	3281
eas_neutral_exact_population_af_reverse_bridge_r001	conversion_metadata	focused_selection_EAS_sim/cosi2_conditioned_gamma_study_work/decode_units/eas_neutral_exact_population_af_reverse_bridge_r001/converted/conversion_metadata.json	4f0dd7ec2f0430be8ec372652984b8826e7a3804512e380e3b6b266f4e16e1db	1711
eas_neutral_exact_population_af_reverse_bridge_r001	decode_completion	focused_selection_EAS_sim/cosi2_conditioned_gamma_study_work/decode_units/eas_neutral_exact_population_af_reverse_bridge_r001/decoded/decode_complete.json	b41345cf385198065d737864c23c02bb6d53c489a71352cf946c985c8a0569d6	3477
eas_neutral_exact_population_af_reverse_bridge_r001	pair_manifest	focused_selection_EAS_sim/cosi2_conditioned_gamma_study_work/decode_units/eas_neutral_exact_population_af_reverse_bridge_r001/decoded/decoded_pairs.tsv	963a028870eef32c2279e8ac82779255f2bf4802680696cf702831c806c6c30a	103547
eas_neutral_exact_population_af_reverse_bridge_r001	posterior	focused_selection_EAS_sim/cosi2_conditioned_gamma_study_work/decode_units/eas_neutral_exact_population_af_reverse_bridge_r001/decoded/posterior.zst	c95a6ca5b7b7ceee373f2959b081ee3770643e30b1ef1f7fc0d099e1b7193a9d	35989348
eas_neutral_exact_population_af_reverse_bridge_r001	posterior_metadata	focused_selection_EAS_sim/cosi2_conditioned_gamma_study_work/decode_units/eas_neutral_exact_population_af_reverse_bridge_r001/decoded/posterior.zst.meta	295befa57207ff766db83e2cf798e909039fce2ceb9d6c576c0c190f3e0b1521	65949
eas_neutral_exact_population_af_reverse_bridge_r001	requested_pairs	focused_selection_EAS_sim/cosi2_conditioned_gamma_study_work/decode_units/eas_neutral_exact_population_af_reverse_bridge_r001/converted/overall.pairs.tsv	59119c5f8bb957292b18a3c5ecff7a973e2ecb5ca403c106db68161cecab63da	34014
eas_neutral_exact_population_af_reverse_bridge_r001	vcf	focused_selection_EAS_sim/cosi2_conditioned_gamma_study_work/decode_units/eas_neutral_exact_population_af_reverse_bridge_r001/converted/input.vcf	88533a5d5eecf6ae44f3ad06731d46402fe6c6c02a8a945b8c135c57f001cd45	11873016
